adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/nJSPkq5dtASykhiYIZhpCX9Zgeq.jpg,"[35, 18, 10749]",449176,en,"Love, Simon","Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online.",8.709,/snIsqVPmlu4LPjvToHpDotxa7Eh.jpg,2018-02-16,"Love, Simon",False,7.98,6214
False,/a5zBQfXmLk3qqRYF7AioWpiAxk2.jpg,"[18, 10752]",11778,en,The Deer Hunter,"Three steelworkers enlist in the army and are sent to Vietnam, one leaving behind a rushed marriage, the others a shared love. What they encounter during the war changes their lives forever.",6.1152,/bbGtogDZOg09bm42KIpCXUXICkh.jpg,1978-12-08,The Deer Hunter,False,7.979,4163
False,/9Y85oA1y6toL2OACXdaC6iTl7eQ.jpg,"[9648, 18]",15,en,Citizen Kane,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",9.7001,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,1941-04-17,Citizen Kane,False,7.979,5957
False,/96el06riGUnHRJGXxhP9StZzhFt.jpg,"[35, 18]",429210,pt,Bingo: O Rei das Manhãs,"1980s. Brazilian television exploding in color and auditorium programs not so politically correct. In the middle of this fervor, Augusto Mendes, a young rising actor, seeks his place in the sun. From porn studios to soap operas, he finally finds success and fame when he becomes ""Bingo"", a TV host clown from one of the audience leader TV shows for children. It turns out that behind the rice powder and red nose, nobody knows who he is.",0.5957,/izz36X4Hg7JCei5BOVeXTjVuQzF.jpg,2017-08-24,Bingo: The King of the Mornings,False,7.978,407
False,/cJEyNHBveCJbto85Qhyd2A2DcbO.jpg,"[18, 10749]",19542,en,The Red Shoes,"A fledgling ballerina falls in love with a brilliant composer, but the jealous head of the ballet company plots to drive them apart.",2.007,/vPvpBWFWDvEXuQBkoYgA6A89GVp.jpg,1948-09-06,The Red Shoes,False,7.977,733
False,/VCebm5PHUChrD0ve24O1dThnxU.jpg,"[18, 28, 12]",1059,ja,隠し砦の三悪人,"In feudal Japan, during a bloody war between clans, two cowardly and greedy peasants, soldiers of a defeated army, stumble upon a mysterious man who guides them to a fortress hidden in the mountains.",3.2908,/olO4vMPKNIJQxhJh54TPQFwKpad.jpg,1958-12-28,The Hidden Fortress,False,7.977,683
False,/8ZsEc2b9iCMWaFjUw3a0kPZZLXu.jpg,"[12, 35, 18]",962,en,The Gold Rush,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,5.0214,/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,1925-07-13,The Gold Rush,False,7.977,1789
False,/ggC3Brchf4RqPitEh7cROFoeAWn.jpg,"[18, 80]",640,en,Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",12.5084,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,2002-12-16,Catch Me If You Can,False,8.0,16830
False,/md848EEPm3dHZOqwGxxTVwH2vu5.jpg,"[18, 36]",906126,es,La sociedad de la nieve,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.",6.5201,/2e853FDVSIso600RqAMunPxiZjq.jpg,2023-12-15,Society of the Snow,False,7.976,3436
False,/hIeEpk2w1dnC9ly9ZJwwbunH2Cx.jpg,"[16, 18, 35, 878]",838240,es,Robot Dreams,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,8.5574,/ds402Qq09ybgBcXKiQNTZfzsP5o.jpg,2023-12-06,Robot Dreams,False,7.975,762
False,/fNHCogWhABNAmzk0IFdzQP5XLYj.jpg,"[9648, 53, 18]",25376,es,El secreto de sus ojos,"Hoping to put to rest years of unease concerning a past case, retired criminal investigator Benjamín begins writing a novel based on the unsolved mystery of a newlywed’s rape and murder. With the help of a former colleague, judge Irene, he attempts to make sense of the past.",12.4005,/dkeAwfZzwL3WvToydE3CXiY80E0.jpg,2009-08-13,The Secret in Their Eyes,False,7.974,2798
False,/z6OZ2Q4FYELeGoBj9tVDWCvevkj.jpg,"[12, 14, 16, 28, 10751]",10515,ja,天空の城ラピュタ,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,11.0842,/41XxSsJc5OrulP0m7TrrUeO2hoz.jpg,1986-08-02,Castle in the Sky,False,7.971,4603
False,/qA2TyqPldTtoTVY3LKrNIG5g6bH.jpg,"[18, 10749]",76,en,Before Sunrise,"An unexpected meeting on a train leads two travelers to spend an evening wandering through Vienna. As the night unfolds, they share stories and conversations about life and love, exploring new ideas while a quiet intimacy grows between them, knowing it may be their only night together.",10.491,/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,1995-01-27,Before Sunrise,False,7.971,4582
