movie_id,person_id,name,job,department
785534,1598214,Ercan Mehmet Erdem,Screenplay,Writing
785534,1584313,Onur Güvenatam,Producer,Production
678580,1703329,Alberto Bremer,Screenplay,Writing
678580,1703328,Raúl Martínez,Screenplay,Writing
678580,1703328,Raúl Martínez,Director,Directing
3175,240,Stanley Kubrick,Director,Directing
3175,240,Stanley Kubrick,Screenplay,Writing
3175,240,Stanley Kubrick,Producer,Production
3175,2027,Leonard Rosenman,Original Music Composer,Sound
339877,1466181,Hugh Welchman,Director,Directing
339877,1003237,DK Welchman,Director,Directing
339877,6377,Clint Mansell,Original Music Composer,Sound
339877,1466181,Hugh Welchman,Producer,Production
339877,2135942,Sean M. Bobbitt,Producer,Production
339877,69596,Ivan Mactaggart,Producer,Production
205596,77965,Morten Tyldum,Director,Directing
205596,1384723,Nora Grossman,Producer,Production
205596,1384724,Ido Ostrowsky,Producer,Production
205596,1080589,Teddy Schwarzman,Producer,Production
205596,2949,Alexandre Desplat,Original Music Composer,Sound
19426,4415,Federico Fellini,Director,Directing
19426,4415,Federico Fellini,Screenplay,Writing
19426,5397,Ennio Flaiano,Screenplay,Writing
19426,5396,Tullio Pinelli,Screenplay,Writing
19426,5398,Dino De Laurentiis,Producer,Production
19426,3098,Nino Rota,Original Music Composer,Sound
19426,5970,Pier Paolo Pasolini,Screenplay,Writing
13223,190,Clint Eastwood,Director,Directing
13223,74315,Nick Schenk,Screenplay,Writing
13223,190,Clint Eastwood,Producer,Production
13223,41551,Bill Gerber,Producer,Production
13223,4746,Robert Lorenz,Producer,Production
13223,33525,Kyle Eastwood,Original Music Composer,Sound
13223,33526,Michael Stevens,Original Music Composer,Sound
530915,39,Sam Mendes,Director,Directing
530915,1563756,Michael Lerman,Producer,Production
530915,10876,Callum McDougall,Producer,Production
530915,34885,Pippa Harris,Producer,Production
530915,39,Sam Mendes,Producer,Production
530915,1342669,Jayne-Ann Tenggren,Producer,Production
530915,153,Thomas Newman,Original Music Composer,Sound
568160,1462260,Yojiro Noda,Original Music Composer,Sound
568160,74091,Makoto Shinkai,Director,Directing
568160,3276309,Kinue Ito,Producer,Production
568160,2419817,Wakana Okamura,Producer,Production
568160,237364,Genki Kawamura,Producer,Production
568160,1895791,Yusuke Takeda,Original Music Composer,Sound
568160,1895792,Satoshi Yamaguchi,Original Music Composer,Sound
568160,1895790,Akira Kuwahara,Original Music Composer,Sound
780,11572,Carl Theodor Dreyer,Director,Directing
780,11572,Carl Theodor Dreyer,Screenplay,Writing
11658,64883,Kang Je-kyu,Director,Directing
11658,64883,Kang Je-kyu,Screenplay,Writing
11658,1293675,Kim Sang-don,Screenplay,Writing
11658,70345,Lee Seong-hun,Producer,Production
11658,1296337,Lee Se-ho,Producer,Production
11658,64886,Lee Dong-jun,Original Music Composer,Sound
11658,1222440,Han Ji-hoon,Screenplay,Writing
2517,25645,Hirokazu Kore-eda,Director,Directing
2517,25645,Hirokazu Kore-eda,Screenplay,Writing
2517,25645,Hirokazu Kore-eda,Producer,Production
2517,25776,Titi Matsumura,Original Music Composer,Sound
455661,1809041,Beth David,Director,Directing
455661,1809042,Esteban Bravo,Director,Directing
449176,1345249,Pouya Shahbazian,Producer,Production
449176,1538209,Isaac Klausner,Producer,Production
449176,1300295,Elizabeth Berger,Screenplay,Writing
449176,6040,Wyck Godfrey,Producer,Production
449176,25046,Marty Bowen,Producer,Production
449176,1300294,Isaac Aptaker,Screenplay,Writing
449176,88967,Greg Berlanti,Director,Directing
449176,1042699,Rob Simonsen,Original Music Composer,Sound
11778,12114,Michael Cimino,Director,Directing
11778,12114,Michael Cimino,Producer,Production
11778,581,Michael Deeley,Producer,Production
11778,14897,John Peverall,Producer,Production
11778,14895,Barry Spikings,Producer,Production
11778,12113,Deric Washburn,Screenplay,Writing
11778,40150,Stanley Myers,Original Music Composer,Sound
15,40,Orson Welles,Director,Directing
15,40,Orson Welles,Producer,Production
15,1045,Bernard Herrmann,Original Music Composer,Sound
15,40,Orson Welles,Screenplay,Writing
15,30012,Herman J. Mankiewicz,Screenplay,Writing
