movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
315635,/sd1eByiFLL0arwkip6lV6l25cSj.jpg,en,6.122,50,2000,3000
673,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,en,2.448,39,1400,2100
673,/uXSJ1ZP4X5AJSBeCtPmuh10SswL.jpg,en,9.298,14,951,1426
673,/iloAbBOkLjsxoNyU8T77QjwbecR.jpg,en,8.362,12,1000,1426
10138,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,en,4.776,20,1000,1500
10138,/1NHEyFPxKnsLdMuDVPy6AI7GRmE.jpg,en,6.546,11,2000,3000
10138,/bMYuDvz2Zl0pNWIbt9GQqZt1CH.jpg,en,5.616,13,1400,2100
238,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,en,5.054,73,1500,2250
238,/3Tf8vXykYhzHdT0BtsYTp570JGQ.jpg,en,7.308,60,2000,3000
238,/oaIPuKuJM8IdpgWSmNe9bBiyvRY.jpg,en,6.546,11,2000,3000
272,/sPX89Td70IDDjVr85jdSBb4rWGr.jpg,en,8.034,6,2000,3000
272,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,en,6.2,20,1000,1500
272,/8RW2runSEc34IwKN2D1aPcJd2UL.jpg,en,5.87,23,2000,3000
283995,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,en,5.328,62,1000,1500
283995,/bFjcrDJSMmDgnRVKVvEQDVepXZB.jpg,en,8.77,8,1000,1500
283995,/bpCHxNUNCNSuaM1W8a42wYttynw.jpg,en,6.722,6,1000,1500
1771,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,en,4.346,42,2000,3000
1771,/AqnvU0lPV3LW1XcjmjkQk3w1PxL.jpg,en,8.596,14,1800,2700
1771,/kHbLKbMIL1w9WhofQlM03FQrQHI.jpg,en,7.318,11,1800,2700
68721,/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,en,5.024,21,1400,2100
68721,/kwdWTa5wjFGJbFY2mpofgg91xHp.jpg,en,7.814,9,2000,3000
68721,/2ZZhlnlkYIMHXsjaHH7ywNVy89k.jpg,en,6.722,9,2000,3000
11,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,en,4.818,45,1400,2100
11,/iWEJuiNOlScWVxfNVyXiXf6lCiG.jpg,,8.034,5,2000,3000
11,/fai0rspsNeJCS69wHNjOdWxcI7P.jpg,en,7.15,20,1973,2952
10195,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,en,1.858,28,1400,2100
10195,/2fuUzNnA1GBcOfmJ9vJ7ZWmu37J.jpg,en,6.608,14,2000,3000
10195,/cyjH91ZMyLAsPOwVv7Nllew1qXs.jpg,en,6.546,11,1035,1535
807,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,en,2.794,29,1000,1500
807,/2xbPhHkDYl26kRspYSAbL4WSYR3.jpg,en,7.256,45,1280,1920
807,/gEJM4psjlW4wb0iav92GRG5Xlug.jpg,en,5.25,14,2000,3000
22,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,en,5.786,7,2000,3000
22,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,en,4.194,18,1000,1500
22,/9MEiDNgYZIhH08ohayUpcF5fTYL.jpg,,3.334,2,1000,1500
674,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,en,4.232,28,2000,3000
674,/66hYnHiYsZDykIeCzHxLlTTmx1k.jpg,en,8.034,5,2000,3000
674,/7VRkmVB23rloRbZHsCRPscXlgQp.jpg,en,5.404,31,2000,3000
297761,/sk3FZgh3sRrmr8vyhaitNobMcfh.jpg,en,8.596,7,2000,3000
297761,/e7eKh77oZ6dccVzNN69WBlnkwrE.jpg,en,5.25,8,2000,3000
297761,/rbsm0i2q2uqlUSFgUAHq3xCUO4j.jpg,en,4.572,14,600,900
634649,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,en,6.316,166,2000,3000
634649,/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,en,6.032,79,2000,3000
634649,/3LQVBvyYHQugjsfzKLjqIPgLO0L.jpg,en,5.778,9,2000,3000
102899,/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,en,5.456,23,2000,3000
102899,/8YxOIPrabqkQCOKKbuxaz9IcqhO.jpg,en,5.786,7,1021,1535
102899,/mZCeewHGy5E7kLEbvOeBvXowJdk.jpg,en,5.25,17,1014,1356
284053,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,en,3.694,117,2000,3000
284053,/8hnNdUFlUkjPWxKDyiE4Kn8h7Q5.jpg,en,7.362,91,2000,3000
284053,/fx68UQgQvAOJZoRtMVigRkOozcQ.jpg,en,6.608,14,1667,2500
767,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,en,4.63,23,2000,3000
767,/1nTvFooV554TE0EQ3V5XfMs6CgX.jpg,en,10.0,5,2000,3000
767,/kMGBMPZRAfPMBgSE9LldHYJXoMf.jpg,en,5.5,19,2000,3000
12445,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,en,4.458,24,1000,1500
12445,/6YwEmMurNra5Oh12HeqLTJt8AnK.jpg,,8.034,5,2000,3000
12445,/nYRSey4YR40AYoPVJ58tWqtBANN.jpg,en,6.2,11,2000,3000
297762,/v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,en,7.076,14,1000,1500
297762,/lTAmu88GzRysbbA85ib2KB1jLGg.jpg,en,6.834,27,2000,3000
297762,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,en,6.648,102,2000,3000
354912,/6Ryitt95xrO8KXuqRGm1fUuNwqF.jpg,en,6.724,28,2000,3000
354912,/iDstnnDc9olbYNdtMwlSNmh6be.jpg,en,5.778,8,1000,1500
354912,/obfU8AADQT9nWuG0KYF8dvzeJiw.jpg,en,5.25,10,1000,1500
135397,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,en,6.834,22,2000,3000
135397,/swUxBbtfH9OMyNbUArgmYG7T5aS.jpg,en,6.834,15,2000,3000
135397,/bkXjL03yWPmiuFqxWEp4zSYVZBY.jpg,en,6.2,10,2000,3000
140607,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,en,4.458,12,1000,1500
140607,/gzFoqLYdFClzfXBsxUTjfFwMvXe.jpg,en,5.682,11,2000,3000
140607,/66mKo4tPUWpW6EFTr8onJ7J1FBN.jpg,en,4.722,9,2000,3000
14160,/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,en,6.2,10,2000,3000
14160,/kJvOHdUQGM2PCx8Bm0UFRoVDVGY.jpg,en,6.042,12,1000,1500
14160,/jX6cvQtuHTejs9HZ7IDEgKV3KDr.jpg,en,5.786,8,1000,1500
675,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,en,2.31,21,1400,2100
675,/g6n8G0xPnBVUIKKK41sNmbZB5h4.jpg,en,5.06,25,1000,1500
675,/sMMjm3NCC3qiDxwVJZd554nCt98.jpg,en,4.79,31,2000,3000
105,/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,en,8.034,10,2000,3000
105,/rej4R5DIdlx29I2soNePfInICG3.jpg,en,6.2,10,2000,3000
105,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,en,5.87,23,2000,3000
286217,/3ndAx3weG6KDkJIRMCi5vXX6Dyb.jpg,en,9.106,12,2000,3000
286217,/fASz8A0yFE3QB6LgGoOfwvFSseV.jpg,en,6.722,6,2000,3000
286217,/5l6LzyRpinZ74GTiM9qdHdg5hYT.jpg,en,5.786,7,1000,1500
557,/kjdJntyBeEvqm9w97QGBdxPptzj.jpg,en,7.19,7,1363,2044
557,/nXdAh5vUwERL4WGVMaee8RoDEAS.jpg,en,6.834,15,2000,3000
557,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,en,6.712,26,1000,1500
245891,/wXqWR7dHncNRbxoEGybEy7QTe9h.jpg,en,5.928,42,2000,3000
245891,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,en,5.928,35,2000,3000
245891,/TxbvYS8wsgYSpYZtQLZXnoVOIQ.jpg,en,5.616,13,2000,3000
100402,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,en,5.426,27,2000,3000
100402,/3vGZBkyvY8K3QzkuHuGQrgx0h37.jpg,en,6.312,8,810,1080
100402,/l79VoTIPEXwo9zCTPTnpqdASvus.jpg,en,5.25,12,1000,1500
98,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,en,4.0,38,1000,1500
98,/wN2xWp1eIwCKOD0BHTcErTBv1Uq.jpg,en,10.0,4,2000,3000
98,/ehGpN04mLJIrSnxcZBMvHeG0eDc.jpg,en,5.778,27,1000,1500
496243,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,en,6.882,64,2000,3000
496243,/lQ9Fg1sCMjBtWJSDT9KMf6k6867.jpg,en,8.034,5,1199,1777
496243,/tNJB14t2lqZ9L4oyEKoN6DT2ou8.jpg,en,7.318,11,2000,3000
