movie_id,person_id,name,cast_order
284053,1372,Karl Urban,7
284053,4173,Anthony Hopkins,8
284053,71580,Benedict Cumberbatch,9
767,10980,Daniel Radcliffe,0
767,10989,Rupert Grint,1
767,10990,Emma Watson,2
767,388,Jim Broadbent,3
767,5658,Michael Gambon,4
767,10993,Tom Felton,5
767,4566,Alan Rickman,6
767,10991,Bonnie Wright,7
767,234924,Jessie Cave,8
767,140367,Evanna Lynch,9
12445,10980,Daniel Radcliffe,0
12445,10990,Emma Watson,1
12445,10989,Rupert Grint,2
12445,5469,Ralph Fiennes,3
12445,4566,Alan Rickman,4
12445,5658,Michael Gambon,5
12445,11184,Warwick Davis,6
12445,1283,Helena Bonham Carter,7
12445,8785,Ciarán Hinds,8
12445,96841,Matthew Lewis,9
297762,90633,Gal Gadot,0
297762,62064,Chris Pine,1
297762,935,Connie Nielsen,2
297762,32,Robin Wright,3
297762,6413,Danny Huston,4
297762,11207,David Thewlis,5
297762,5419,Saïd Taghmaoui,6
297762,1125,Ewen Bremner,7
297762,1823591,Eugene Brave Rock,8
297762,11111,Lucy Davis,9
354912,1193391,Anthony Gonzalez,0
354912,258,Gael García Bernal,1
354912,4589,Benjamin Bratt,2
354912,10402,Alanna Ubach,3
354912,154004,Renée Victor,4
354912,545087,Jaime Camil,5
354912,22767,Alfonso Arau,6
354912,178667,Herbert Siguenza,7
354912,86498,Gabriel Iglesias,8
354912,4992,Lombardo Boyar,9
135397,73457,Chris Pratt,0
135397,18997,Bryce Dallas Howard,1
135397,76793,Irrfan Khan,2
135397,7132,Vincent D'Onofrio,3
135397,17181,Ty Simpkins,4
135397,1108907,Nick Robinson,5
135397,543505,Jake Johnson,6
135397,78423,Omar Sy,7
135397,14592,BD Wong,8
135397,20750,Judy Greer,9
140607,1315036,Daisy Ridley,0
140607,236695,John Boyega,1
140607,25072,Oscar Isaac,2
140607,1023139,Adam Driver,3
140607,4,Carrie Fisher,4
140607,3,Harrison Ford,5
140607,2,Mark Hamill,6
140607,1267329,Lupita Nyong'o,7
140607,1333,Andy Serkis,8
140607,93210,Domhnall Gleeson,9
14160,68812,Ed Asner,0
14160,290,Christopher Plummer,1
14160,80676,Jordan Nagai,2
14160,10,Bob Peterson,3
14160,18792,Delroy Lindo,4
14160,7960,Jerome Ranft,5
14160,7907,John Ratzenberger,6
14160,84490,David Kaye,7
